ENT,MUN,LOC50K,ID_VIV,COBERTURA,ESTRATO,UPM,FACTOR,CLAVIVP,ID_MII,MPER,MCONRES,MSEXO,MEDAD,MFECEMIM,MFECEMIA,MCAUSAEMIG,MCAUSAEMIG_V,MLUGORI_C,MPAIDES_C,MPAIRES,MFECRETM,MFECRETA,MCAUSARETO,MCAUSARETO_V,MCONRESACT,MPERLS,TAMLOC
19,005,0000,190050000706,2,19-005-0000-06,00088,4,01,19005000070601,01,1,1,22,03,2020,02,0102,019,221,1,,,,,,,3
19,005,0000,190050000742,2,19-005-0000-06,00093,3,01,19005000074201,01,1,1,39,10,2019,03,0301,019,221,1,,,,,,,3
19,005,0000,190050000742,2,19-005-0000-06,00093,3,01,19005000074202,03,1,1,19,10,2019,02,0102,019,221,1,,,,,,,3
19,005,0000,190050000742,2,19-005-0000-06,00093,3,01,19005000074203,04,1,1,14,10,2019,05,0501,019,221,1,,,,,,,3
19,005,0000,190050000742,2,19-005-0000-06,00093,3,01,19005000074204,05,1,3,13,10,2019,05,0501,019,221,1,,,,,,,3
19,005,0000,190050000742,2,19-005-0000-06,00093,3,01,19005000074205,02,1,3,36,10,2019,03,0301,019,221,1,,,,,,,3
19,005,0000,190050000743,2,19-005-0000-06,00093,3,01,19005000074301,01,1,1,24,99,9999,99,9999,999,999,9,,,,,,,3
19,005,0000,190050000745,2,19-005-0000-06,00093,3,01,19005000074501,01,1,3,37,06,2015,03,0301,019,221,1,,,,,,,3
19,005,0000,190050000745,2,19-005-0000-06,00093,3,01,19005000074502,03,1,1,16,06,2015,03,0301,019,221,1,,,,,,,3
19,005,0000,190050000745,2,19-005-0000-06,00093,3,01,19005000074503,04,1,1,10,06,2015,03,0301,019,221,1,,,,,,,3
19,005,0000,190050000745,2,19-005-0000-06,00093,3,01,19005000074504,02,1,1,37,06,2015,01,0101,019,221,1,,,,,,,3
19,005,0000,190050000768,2,19-005-0000-06,00096,4,01,19005000076801,01,1,1,42,10,2017,01,0101,019,221,1,,,,,,,3
19,005,0000,190050000781,2,19-005-0000-06,00098,4,02,19005000078101,01,1,1,18,12,2017,01,0101,019,221,1,,,,,,,3
19,005,0000,190050000788,2,19-005-0000-06,00098,4,01,19005000078801,01,1,3,30,05,2019,01,0101,019,221,1,,,,,,,3
19,005,0000,190050000788,2,19-005-0000-06,00098,4,01,19005000078802,03,1,1,12,05,2019,03,0301,019,221,1,,,,,,,3
19,005,0000,190050000788,2,19-005-0000-06,00098,4,01,19005000078803,02,1,1,32,05,2019,01,0101,019,221,1,,,,,,,3
19,005,0000,190050000791,2,19-005-0000-06,00098,4,01,19005000079101,01,1,1,46,02,2020,01,0101,019,221,1,,,,,,,3
19,005,0000,190050000799,2,19-005-0000-06,00099,4,01,19005000079901,01,1,3,45,06,2018,01,0101,019,221,1,,,,,,,3
19,005,0000,190050000799,2,19-005-0000-06,00099,4,01,19005000079902,02,1,3,67,06,2018,01,0101,019,221,1,,,,,,,3
19,005,0000,190050000845,2,19-005-0000-06,00104,4,01,19005000084501,01,1,1,38,08,2015,01,0101,019,221,1,,,,,,,3
19,005,0000,190050000865,2,19-005-0000-06,00106,4,01,19005000086501,01,1,1,999,99,9999,99,9999,999,999,9,,,,,,,3
19,005,0000,190050000887,2,19-005-0000-06,00109,5,01,19005000088701,01,1,1,16,06,2015,05,0501,019,221,1,,,,,,,3
19,005,0000,190050000904,2,19-005-0000-06,00112,4,01,19005000090401,01,1,3,35,08,2019,01,0101,019,221,1,,,,,,,3
19,005,0000,190050000913,2,19-005-0000-06,00112,4,01,19005000091301,01,1,3,56,08,2019,02,0102,019,221,1,,,,,,,3
19,005,0000,190050000971,2,19-005-0000-06,00120,4,01,19005000097101,01,1,1,54,99,9999,99,9999,999,999,9,,,,,,,3
19,005,0000,190050000997,2,19-005-0000-06,00126,4,01,19005000099701,01,1,3,13,08,2016,05,0501,019,221,1,,,,,,,3
19,005,0000,190050000997,2,19-005-0000-06,00126,4,01,19005000099702,02,1,1,12,08,2016,05,0501,019,221,1,,,,,,,3
19,005,0000,190050000997,2,19-005-0000-06,00126,4,01,19005000099703,03,1,1,13,05,2019,05,0501,019,221,1,,,,,,,3
19,005,0000,190050001075,2,19-005-0000-06,00135,3,01,19005000107501,01,1,3,15,07,2017,05,0501,019,221,1,,,,,,,3
19,005,0000,190050001081,2,19-005-0000-06,00135,3,01,19005000108101,01,1,1,15,07,2017,05,0501,019,221,1,,,,,,,3
19,005,0000,190050001081,2,19-005-0000-06,00135,3,01,19005000108102,02,1,1,13,07,2017,05,0501,019,221,1,,,,,,,3
19,005,0000,190050001189,2,19-005-0000-06,00149,4,01,19005000118901,01,1,1,999,99,9999,09,0403,005,999,9,,,,,,,3
19,006,0001,190060000011,2,19-006-0001-00,00001,36,01,19006000001101,01,1,1,52,02,2019,01,0101,019,221,1,,,,,,,5
19,006,0001,190060000016,2,19-006-0001-00,00001,36,01,19006000001601,01,1,1,20,01,2018,01,0101,019,221,1,,,,,,,5
19,006,0001,190060000204,2,19-006-0001-00,00010,37,01,19006000020401,01,1,1,29,05,2018,05,0501,015,423,3,12,2019,03,0301,1,05,5
19,006,0001,190060000279,2,19-006-0001-00,00015,37,02,19006000027901,01,1,3,49,10,2018,01,0101,019,221,1,,,,,,,5
19,006,0001,190060000423,2,19-006-0001-00,00019,36,01,19006000042301,01,1,1,34,06,2015,01,0101,019,425,2,,,,,,,5
19,006,0001,190060000848,2,19-006-0001-00,00034,36,01,19006000084801,01,1,1,20,08,2016,01,0101,019,221,3,12,2016,09,0809,1,02,5
19,006,0001,190060000958,2,19-006-0001-00,00037,37,01,19006000095801,01,1,3,50,99,9999,99,9999,999,999,9,,,,,,,5
19,006,0001,190060001006,2,19-006-0001-00,00038,37,01,19006000100601,01,1,3,25,08,2017,05,0501,019,221,3,09,2019,05,0501,1,03,5
19,006,0001,190060001075,2,19-006-0001-00,00040,36,01,19006000107501,02,1,1,23,11,2018,01,0101,019,221,3,11,2019,06,0601,1,04,5
